鸦 鴉 [āa] "a crow"    
叠埋心水 疊埋心水 "[dihp màaih sām séui]" "to focus on a task, to concentrate on what one is doing."    
的 的 [dīk] "1. possessive marker2. to fetch, to move, to pick up3. to force"    
的的式式 的的式式 "[dīk dīk sīk sīk]" "small size, tiny"    
的起心肝 的起心肝 "[dīk héi sām gōn]" "(to raise heart and liver)to make a serious effort to do something, especially something about which one has already been procrastinating for some time. "    
的士钱 的士錢 "[dīk sí chín]" "1. taxi money2. money given by a customer to a prostitute if he does not want to have sex with her, i.e. if she is not acceptable to him."    
的士佬 的士佬 "[dīk sí lóu]" "a taxi-driver"    
的士高 的士高 "[dīk sí gōu]" "a discotheque"    
的式 的式 "[dīk sīk]" "small size, tiny"    
点 點 [dím] "1. how?2. to instruct3. to advise, especially to give misleading advice, to cheat4. to dot"    
点呀? 點呀? "[dím aa?]" "an informal greeting, ""how are you doing?"", ""how are things?""."    
点错相 點錯相 "[dím cho seung]" "to get the wrong person, to pick on the wrong person for revenge."    
点红点录(点到晕) 點紅點錄(點到暈) "[dím hùhng dím luhk (dím dou wàhn)]" "(to dot red, dot green)to be inconsistent, to change one's mind frequently, to be unreliable, to be tricky, to ""blow hot and cold"". "    
点醒 點醒 "[dím séng]" "to give the right advice"    
点相 點相 "[dím seung]" "1. to be trapped2. to pick out someone for revenge"    
点话点好 點話點好 "[dím waah dím hóu]" "(how say how good)as you like" " as you wish" " as you please"  
癫 癲 [dīn] crazy    
癫癫得得 癲癲得得 "[dīn dīn dāk dāk]" crazy    
癫鸡 癲雞 "[dīn gāi]" "(crazy chicken)a crazy woman"    
癫狗 癲狗 "[dīn gáu]" "(crazy dog)an crazy person, an angry person acting irrationally, a ""mad dog""."    
癫佬 癲佬 "[dīn lóu]" "1. a crazy man2. a joking term for an academic Dean (in colleges)."    
癫婆 癲婆 "[dīn pó]" "a crazy woman"    
典 典 [dín] "1. a rule2. to roll, to roll about"    
典床典席 典床典蓆 "[dín chòhng dín jehk]" "(roll on the bed, roll on the mat)to toss and turn in bed."    
丁 丁 [dīng] "the fourth celestial stem"    
丁屎 丁屎 "[dīng sí]" "1. trivial matters2. a small amount3. a person of no importance, a ""little shit""."    
顶 頂 [díng] "1. to support2. head3. to bear, to endure, to put up with4. to have sex with, to ""screw""5. an exclamation expressing disappointment, anger, amazement, etc. (""shit!"", ""damn!"", etc.)6. to get high on alcohol or drugs7. a wishful exclamation used by a gambler hoping for a higher card but not a jack, queen or king (e.g. in blackjack)."    
顶班 頂班 "[díng bāan]" "top quality, top class, superior"    
顶包 頂包 "[díng bāau]" "1. to provide the police with a scapegoat to arrest when a crime has been committed, e.g. as part of an arrangement between criminals and corrupt police allowing illegal activities to continue whilst providing the police with convenient arrests2. to take the blame for someone else"    
顶得顺 頂得順 "[díng dāk seuhn]" "to (be able to) put up with" " to tolerate"   
顶档 頂檔 "[díng dong]" "(to support stall)to take over someone's job or role temporarily, to act as a stand-in."    
顶颈 頂頸 "[díng géng]" "to argue"    
顶瓜瓜 頂瓜瓜 "[díng gwāa gwāa]" "the best, very good, excellent"    
顶罪 頂罪 "[díng jeuih]" "to take a punishment for someone else, to accept the blame for someone else's crime (e.g. to deceive the authorities)."    
顶住条气 頂住條氣 "[díng jyuh tìuh hei]" "(to have one's breath blocked)to suppress one's anger"    
顶烂市 頂爛市 "[díng laahn síh]" "to drive down the market, to ruin the market by undercutting everyone else's price, to spoil everyone's business by offering very low prices"    
顶笼 頂籠 "[díng lúng]" "1. full capacity, full house2. at the extreme point (best, worst, most)."    
顶唔住 頂唔住 "[díng m4 jyuh]" "to be unable to bear anymore" " to be unable to hold out."   
顶唔蒲 頂唔蒲 "[díng m4 pòuh]" "to be unable to hold out."    
顶唔顺 頂唔順 "[díng m4 seuhn]" "to be unable to put up with, to be unable to tolerate"    
顶你个肺 頂你個肺 "[díng néih go fai]" "(to pierce your lung)an expression of irritation, aggression, surprise or amazement, ""shit!"", ""damn you!"", ""sod you!"" (a variant of 屌你老母 díu néih lóuh mói)."    
顶硬上 頂硬上 "[díng ngaahng séuhng]" "to stick to one's course of action, to persist, to ""hang tough""."    
顶心杉 頂心杉 "[díng sām chaam]" "an argumentative person, someone who is difficult to deal with."    
顶心顶肺 頂心頂肺 "[díng sām díng fai]" "(pressing against one's heart and lungs)a constant source of irritation, ""pain in the neck""."    
顶手 頂手 "[díng sáu]" "to transfer possession, a title or a business."    
顶头上司 頂頭上司 "[díng tàuh seuhng sī]" "(boss on top of one's head)one's immediate superior"    
顶艇 頂艇 "[díng téhng]" "traffice congestion (truck driver jargon)"    
顶肚 頂肚 "[díng tóuh]" "to have a quick snack, to grab a quick bite"    
肚瘾 肚癮 "[díng yáhn]" "good, interesting, fun"    
顶爷 頂爺 "[díng yèh]" "a triad boss, a triad protector"    
跌 跌 [dit] "to drop"    
跌咗落地嗱番乍沙 跌咗落地嗱番乍沙 "[dit jó lohk deih náa fāan jaah sāa]" "(after falling down, to grab a handful of sand)to give a poor excuse for failing to avoid embarrassment (by pretending that one intended to pick up the sand)."    
跌眼镜 跌眼鏡 "[dit ngáahn géng]" "(to drop glasses)to get something wrong" " to make wrong guess"   
刁 刁 [dīu] tricky    
刁桥扭拧 刁橋扭擰 "[dīu kìuh náu nihng]" "to keep refusing when offered a series of choices, to be choosy or fussy. "    
丢 丟 [dīu] "to lose"    
丢假 丟假 "[dīu gáa]" "to lose face"    
丢疏咗 丟疏咗 "[dīu sō jó]" "(distanced)to have lost the ability to do something, to have one's skills go rusty, ""to be out of touch""."    
屌 屌 [díu] "to fuck"    
屌柒爆你老尾个閪 屌柒爆你老尾個閪 "[díu chaht baau néih lóuh méi go hāi]" "(fuck dick crack your mother's cunt)used to express obscene abuse, aggression, strong emphasis, surprise or amazement. "    
屌柒你老母个閪 屌柒你老母個閪 "[díu chaht néih lóuh móu go hāi]" "(fuck dict your mother's cunt)used to express obscene abuse, aggression, strong emphasis, surprise or amazement."    
屌到你閪痕 屌到你閪痕 "[díu dou néih hāi hàhn]" "(fuck till your cunt itchy)used to express obscene abuse, aggression, strong emphasis, surprise or amazement."    
俾人屌到挞皮 俾人屌到撻皮 "[béi yàhn díu dou taat pèih]" "(by someone fucked so that foreskin gets spread out)1. to be maltreated by someone, to be abused2. to be tricked, to ""get screwed"" by someone, to be ""fucked over by someone"". "    
屌鸠捻柒你个冚家仱 屌鳩撚柒你個冚家仱 "[díu gāu lán chaht néih go hahm gāa līng]" "(fuck cock prick cunt dick your whole family bell)used to express obscene abuse and aggression."    
屌开 屌開 "[díu hōi]" "(fuck away)a forceful and obscene instruction to someone to leave (""fuck off"")."    
屌捻你老母臭閪 屌撚你老母臭閪 "[díu lán néih lóuh móu chau hāi]" "(fuck prick your mother's smelly cunt)used to express obscene abuse, aggression, strong emphasis, surprise or amazement. "    
屌你 屌你 "[díu néih]" "fuck you"    
屌你娘亲 屌你娘親 "[díu néih lèuhng chān]" "fuck your mother"    
屌你卤味 屌你鹵味 "[díu néih lóuh méi]" "(fuck your old roasted meat)an obscene phrase expressing surprise, amazement or hostility (partially euphermistic variant 屌你老母 díu néih lóuh móu)."    
屌你老尾冚家铲 屌你老尾冚家剷 "[díu néih lóuh méi hahm gāa cháan]" "(fuck your old roasted meat whole family spade)an obscene phrase expressing hostility and aggression."    
屌你老母 屌你老母 "[díu néih lóuh móu]" "fuck your mother"    
屌你老母臭閪 屌你老母臭閪 "[díu néih lóuh móu chau hāi]" "fuck your mother's smelly cunt"    
屌你老母个臭(花/化)閪 屌你老母個臭(花/化)閪 "[díu néih lóuh móu go chau (fāa/faa) hāi]" "(fuck your mother's smelly (flowery) cunt}used to express obscene abuse, aggression, strong emphasis, surprise or amazement. "    
屌你老母个仆街冚家铲 屌你老母個仆街冚家鏟 "[díu néih lóuh móu go pūk gāai hahm gāa cháan]" "(fuck your mother's fall-down-in-the-street whole family spade)an obscene expression of violent hostility and aggression."    
屌你老母个仆街仔 屌你老母個仆街仔 "[ go pūk gāai jái]" "(fuck your mother's fall-in-the-street boy)an obscene expression of violent hostility and aggression."    
屌你老母烂花閪 屌你老母爛花閪 "[díu néih lóuh móu laahn fāa hāi]" "(fuck your mother's rotten flower cunt)an obscene phrase expressing surprise, hostility and aggression."    
屌你老母捻鸠閪柒未捻屌过呀? 屌你老母撚鳩閪柒未撚屌過呀? "[díu néih lóuh móu lán gāu hāi chaht, meih lán díu gwo àah?]" "(fuck your mother prick cock cunt dick, not prick fucked yet?)an obscene expression of violent hostiity and aggression. "    
吊 吊 [diu] "to hang"    
吊颈都要透气 吊頸都要透氣 "[diu géng dōu yiu táu hei]" "(even while hanging need breathe)to take a rest, to need to take a rest"    
吊起嚟卖 吊起嚟賣 "[diu héi làih maaih]" "1. to hoard, to speculate by hoarding a commodity2. to have a high opinion of oneself and so be selective about what jobs one takes on (e.g. movie star)."    
吊靴鬼 吊靴鬼 "[diu hēu gwái]" "(hang boots ghost)someone who is always lurking around."    
吊住条尾 吊住條尾 "[diu jyuh tìuh méih]" "to follow someone, to track someone, to be on someone's tail."    
吊命 吊命 "[diu mehng]" "1. to be hardly surviving, to be dependent on some source of money to survive2. to be dangerously ill"    
吊瘾 吊癮 "[diu yáhn]" "(hanging addiction)1. to run out of durgs2. to be urgently looking for drugs"    
吊盐水 吊鹽水 "[diu yìhm séui]" "(to be fed intravenously}under-employment, especially at factories where wages are calculated on a piece-rate basis, to be barely surviving"    
钓 釣 [diu] "to fish"    
钓大鱼 釣大魚 "[diu daaih yú]" "(to catch a big fish)to net a big criminal, to make a big arrest"    
钓金龟 釣金龜 "[diu gām gwāi]" "(to fish for a golden tortoise)to look for a rich husband" " to catch a rich husband"   
钓高嚟卖 釣高嚟賣 "[diu gōu làih maaih]" "used of a woman held to be arrogant or snobbish (esp. from a rejected man's point of view)."    
钓泥猛 釣泥猛 "[diu làih māang]" "(to fish for dory fish)a system whereby a taxi driver will take several passengers all going to a particular destination such as a ferry terminal (i.e. operating somewhat like a minibus)."    
钓鱼 釣魚 "[diu yú]" "1. to fish2. to be sleepy, to ""nod off"" (in a bus, or during a class)."    
调 調 [diuh] "to transfer"    
调仓 調倉 "[diuh chōng]" "to transfer between cells in prison, to change cells."    
多 多 [dō] many    
多得你唔少 多得你唔少 "[dō dāk néih m4 síu]" "(thank you for not a little)used to tell somebody that they have been a nuisance, that they have caused lots of trouble to the speaker, ""Thanks for nothing!""."    
多多事实 多多事實 "[dō dō sih saht]" "(many many facts)to be troublesome, over-talkative."    
多鸠馀 多鳩餘 "[dō gāu yùh]" "an obsecne expression describing something as for meaningless, nonsensical, superfluous, ""fucking useless""."    
多旧鱼 多舊魚 "[dō gāu yú]" "(one more piece of fish)meaningless, superfluous, a euphemistic variant of 多鳩魚 dō gāu yùh."    
多口 多口 "[dō háu]" "(to much mouth)to talk too much, talking too much nonsense."    
多口水 多口水 "[dō háu séui]" "(too much saliva)to talk too much" " talking too much nonsense"   
多谢夹盛惠 多謝夾盛惠 "[dō jeh gaap sihng waih]" "(thank you and much appreciated)a rude way of refusing an offer, ""thanks and no thanks""."    
多谢你咁好介绍 多謝你咁好介紹 "[dō jeh nèih gām hóu gaai siuh]" "thanks for the suggestion! (often used sarcastically)."    
多咀 多咀 "[dō jéui]" "talking too much."    
多手 多手 "[dō sáu]" "(many hands)fiddling, touching things (e.g. said of a naughty child)."    
多水 多水 "[dō séui]" "juicy (as a sexual reference to a woman)."    
多事 多事 "[dō sih]" nosy    
多余 多餘 "[dō yùh]" "meaningless, nonsensical, superfluous"    
朵 朵 [dó/déu] "1. a flower2. a name, reputation3. to reveal one's identity, to reveal one's traid identity by naming one's protector or traid society in order to protect oneself, intimidate, etc. "    
度 度 [dohk] "1. to calculate2. to consider, to think3. to ask someone for a loan"    
度颈 度頸 "[dohk géng]" "(measure nick)1. to be hanged2. to hang"    
度住 度住 "[dohk jyuh]" "to be calculating" " to be materialistic"   
度水 度水 "[dohk séui]" "to ask for a loan" " to beg for money"   
铎 鐸 [dohk] "a large bell"    
铎叔 鐸叔 "[dohk sūk]" "miserly, ""stingy"""    
荡 蕩 [dohng] "to drift"    
荡失路 蕩失路 "[dohng sāt louh]" "to lose one's way, to get lost"    
袋 袋 [doih/dói] "1. bag2. a condom (short form of 避孕袋 beih yahn dói)3. scrotum (from 春袋 chēun dói)"    
袋袋平安 袋袋平安 "[doih doih pìhng ōn]" "(every pocket is secure)to acquire and keep safe a sum of money (a pun on 代代平安 doih doih pìhng ōn which is a New Year good wish meaning ""peace on each generation"")."    
当 當 [] "[dōng]1. to work as 2. to fill in a post [dong]1. to treat as 2. to pawn 3. to treat someone in a certain way (see 當臭四 dong chau sei)"    
当打 當打 "[dōng dáa]" "(when fighting)tough, fit, strong, formidable (e.g. football players)"    
当家 當家 "[dōng gāa]" "(to be the leader, to take on the role of leader"    
当黑 當黑 "[dōng hāk]" "to be unlucky"    
当红炸子鸡 當紅炸子雞 "[dōng hùhng jaa jí gāi]" "(a red fired chicken)a currently popular personality, particulary in show business"    
当扎 當紮 "[dōng jaat]" "waiting to be promoted"    
当衰 當衰 "[dōng séui]" "1. to be unlucky, to run into bad luck2. used as an exclamation, as in ""just my luck""."    
当臭四 當臭四 "[dong chau sei]" "to treat someone as a nobody, to show no respect to someone"    
